parksid,block,lotnum,lotsize,areacovered
B517-GT001,1541,3,1772,Full Lot
B517-GT001,1541,4,1773,Full Lot
B517-GT001,1541,5,1600,Full Lot
B517-GT001,1541,6,1580,Full Lot
B517-GT001,1541,7,1508,Full Lot
B517-GT001,1541,8,1422,Full Lot
B517-GT001,1541,15,940,Full Lot
B517-GT001,1541,16,1007,Full Lot
B517-GT001,1541,18,1737,Full Lot
B517-GT001,1541,9,1333,Full Lot
B517-GT001,1541,10,1245,Full Lot
B517-GT001,1541,11,1140,Full Lot
B517-GT001,1541,12,1060,Full Lot
B517-GT001,1541,13,982,Full Lot
B517-GT001,1541,14,893,Full Lot
B560-GT001,363,7,1338,Full Lot
M299-GT001,1815,2,16723,Full Lot
B531-GT001,1708,64,,
B531-GT001,1708,63,,
B504-GT001,8173,63,4000,Full Lot
B504-GT001,8173,65,2000,Full Lot
B504-GT001,8173,66,2000,Full Lot
B509-GT001,4010,1,,
B486-GT002,3858,1,830,Full Lot
B516-GT001,3814,120,20000,Full Lot
B426-GT001,2922,20,,
B426-GT001,2922,21,,
B487-GT001,1462,57,2555,Full Lot
Q475-GT001,3180,6,,
B506-GT001,4295,55,,
B506-GT001,4295,54,,
BGT048,1152,20,,
BGT048,1152,21,,
BGT048,1152,23,,
X317-GT001,2406,29,,
X317-GT001,2406,28,,
B302-GT001,1726,114,,
BGT049,1387,40,3300,Full Lot
X325-GT001,3523,38,,
B488-GT001,1766,43,,
B488-GT001,1766,44,,
B126-GT001,607,1,152165,Full Lot
B489-GT001,2893,35,4956,Full Lot
M352-GT001,395,8,,
X335-GT001,3323,100,,
X245-GT001,4003,1,,
XGT031,5141,443,18500,Partial Lot
M072-GT001,2101,55,4800,Partial Lot
XGT032,2506,87,,
XGT032,2506,89,,
XGT032,2506,91,,
M375-GT001,1708,20,5046,Partial Lot
M375-GT001,1708,29,2506,Full Lot
M375-GT001,1708,129,2506,Full Lot
BGT050,5128,70,,
RGT002,639,2,,
B490-GT001,7058,9,1540,Full Lot
B490-GT001,7058,10,1540,Full Lot
B490-GT001,7058,11,1540,Full Lot
B490-GT001,7058,8,1540,Full Lot
XGT033,5750,382,,
QGT010,15806,4,,
B530-GT001,1703,1,,
B530-GT001,1703,2,,
BGT051,4298,65,,
XGT034,2455,37,,
B491-GT001,3976,1,,
B491-GT001,3976,2,,
B491-GT001,3976,3,,
B491-GT001,3976,4,,
B502-GT001,1814,44,,
B502-GT001,1814,45,,
BGT052,1048,34,,
B559-GT001,329,38,1743,Full Lot
B559-GT001,329,39,1772,Full Lot
Q473-GT001,1939,21,,
B492-GT001,3789,35,8000,Full Lot
BGT053,1387,34,,
B501-GT001,1457,9,6317,Full Lot
B501-GT001,1457,13,2338,Full Lot
M394-GT001,1953,44,,
B503-GT001,1817,57,,
B505-GT001,1466,1,5029,Full Lot
B563-GT001,3521,72,2500,Full Lot
B563-GT001,3521,73,2500,Full Lot
B563-GT001,3521,74,2500,Full Lot
MGT029,350,5,,
M319A-GT001,2053,94,,
B411-GT001,353,1,1120,Full Lot
B411-GT001,353,2,3360,Full Lot
X277A-GT001,2550,51,,
X277A-GT001,2550,53,,
X277A-GT001,2550,55,,
X277A-GT001,2550,49,,
QGT012,123,12,,
B427-GT001,3079,37,,
B427-GT001,3079,38,,
B562-GT001,7052,56,30369,Full Lot
B473-GT001,1840,16,,
B473-GT001,1840,17,,
B494-GT001,1760,39,,
B494-GT001,1760,36,,
B494-GT001,1760,38,,
X296-GT001,2511,85,2500,Full Lot
X296-GT001,2511,86,2500,Full Lot
X296-GT001,2511,87,2500,Full Lot
X296-GT001,2511,88,2500,Full Lot
X296-GT001,2511,90,12500,Full Lot
XGT035,2508,35,,
XGT035,2508,37,,
XGT035,2508,40,,
XGT035,2508,13,,
BGT054,1762,18,,Full Lot
M389-GT001,1711,8,,
M389-GT001,1711,9,,
B445-GT001,2791,45,,
B445-GT001,2791,46,,
B512-GT001,3586,41,1488,Full Lot
B512-GT001,3586,42,1524,Full Lot
B512-GT001,3586,43,1500,Full Lot
MGT030,1708,17,,
B416-GT001,3699,36,,
B416-GT001,3699,37,,
